Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,TSLA
2023-01-31,7973.6,6052.07,6816.95,9776.94,8994.68,7472.2,4331.29
2023-02-01,8036.59,6170.61,6926.61,9866.68,8970.91,7621.16,4536.08
2023-02-02,8334.45,6626.0,7430.78,9903.77,8929.13,7978.47,4707.61
2023-02-03,8537.81,6067.33,7226.63,9848.14,9067.3,7790.02,4750.37
2023-02-06,8384.74,5996.32,7096.97,9773.35,9120.65,7742.37,4869.89
2023-02-07,8546.1,5992.21,7423.88,9775.74,9231.83,8067.73,4921.15
2023-02-08,8395.24,5871.32,6853.51,9788.31,9166.92,8042.7,5033.17
2023-02-09,8337.21,5765.11,6552.8,9656.09,9024.25,7948.92,5183.95
2023-02-10,8357.69,5728.14,6522.45,9700.96,9064.09,7933.24,4923.15
2023-02-13,8514.87,5841.4,6525.21,9736.86,9162.42,8181.1,4866.89
2023-02-14,8478.9,5850.78,6530.04,9694.38,9202.91,8206.73,5232.21
2023-02-15,8596.78,5936.46,6685.91,9534.64,9241.47,8141.13,5356.98
2023-02-16,8507.12,5759.82,6587.28,9467.04,9114.22,7924.4,5051.93
2023-02-17,8442.92,5704.07,6507.28,9664.68,9141.21,7800.76,5208.7
2023-02-21,8217.67,5550.32,6330.72,9520.67,8973.48,7637.83,4935.15
2023-02-22,8241.47,5621.33,6321.06,9507.41,8904.71,7602.76,5022.42
2023-02-23,8268.59,5623.09,6268.64,9504.4,8976.05,7701.31,5052.68
2023-02-24,8119.71,5486.94,6147.26,9398.34,9057.02,7533.54,4922.9
2023-02-27,8186.68,5502.2,6198.29,9377.86,9136.07,7561.96,5191.7
2023-02-28,8158.45,5529.78,6211.4,9235.05,9212.55,7539.59,5143.69
2023-03-01,8042.22,5408.89,6232.09,9193.47,9161.13,7444.37,5070.18
2023-03-02,8075.43,5406.55,6345.2,9186.24,9066.02,7590.67,4773.37
2023-03-03,8358.8,5569.1,6459.0,9280.84,9232.47,7717.03,4945.66
2023-03-06,8513.77,5501.62,6561.07,9373.64,9178.49,7764.79,4846.14
2023-03-07,8390.35,5489.88,6473.48,9285.06,8908.57,7682.57,4693.61
2023-03-08,8460.63,5511.59,6500.38,9216.97,8855.87,7668.96,4550.83
2023-03-09,8334.45,5413.59,6367.27,9113.33,8376.44,7627.25,4323.79
2023-03-10,8218.77,5324.39,6250.71,9135.62,8589.17,7514.5,4336.8
2023-03-13,8327.81,5424.15,6283.82,9222.99,8434.93,7675.62,4362.8
2023-03-14,8445.14,5567.93,6481.07,9274.82,8651.5,7883.29,4582.34
2023-03-15,8467.28,5645.39,6628.66,9300.73,8242.77,8023.85,4512.08
2023-03-16,8625.56,5870.74,6919.03,9281.44,8402.79,8349.11,4604.09
2023-03-17,8578.52,5806.77,7008.69,9182.02,8085.32,8446.74,4504.08
2023-03-20,8711.35,5734.0,6981.1,9273.01,8170.79,8229.1,4582.09
2023-03-21,8815.4,5904.19,7236.29,9273.01,8389.94,8275.95,4940.41
2023-03-22,8735.15,5792.1,7129.38,9101.88,8173.36,8230.91,4779.63
2023-03-23,8796.03,5792.69,7283.19,9106.7,8151.51,8393.24,4806.38
